country_id,year,wellbeing_score
20,2005,4.63
7,2005,5.56
8,2005,4.98
19,2005,3.05
4,2005,6.84
6,2005,6.61
3,2005,3.55
7,2005,5.7
7,2005,7.91
5,2005,7.06
6,2005,3.83
1,2005,6.45
1,2005,5.83
8,2005,5.48
3,2005,4.36
1,2005,5.59
20,2005,3.46
20,2005,7.36
1,2005,6.93
5,2005,5.19
20,2005,4
3,2005,6.9
6,2005,4.01
20,2005,7.27
6,2005,7.58
5,2005,7.23
3,2005,3.54
5,2005,5.95
16,2005,4.28
20,2005,6.65
4,2005,7.21
5,2005,5.3
7,2005,6.12
16,2005,5.97
5,2005,7.31
3,2005,3.79
8,2005,4.9
8,2005,7.68
20,2005,4.24
1,2005,5.6
4,2005,3.4
16,2005,7.27
1,2005,3.56
16,2005,3.48
4,2005,6.76
19,2005,7.28
19,2005,7.05
19,2005,4.35
3,2005,5.05
5,2005,6.24
4,2005,5.97
1,2005,6.03
20,2005,5.21
20,2005,6.73
8,2005,6.59
20,2005,6.74
3,2005,6.58
20,2005,4.55
8,2005,3.33
20,2005,6.57
6,2005,6.09
1,2005,7.29
3,2005,6.34
6,2005,7.8
8,2005,5.95
19,2005,5.69
5,2005,3.07
7,2005,4.68
16,2005,4.57
16,2005,5.79
20,2005,3.01
4,2005,7.51
19,2005,4.16
19,2005,5.08
16,2005,7.83
19,2005,3.85
4,2005,6.17
7,2005,4.15
8,2005,6.25
20,2005,3.63
5,2005,7.78
5,2005,5.2
7,2005,4.27
16,2005,3.9
3,2005,5.59
3,2005,4.47
8,2005,5.64
5,2005,5.1
5,2005,3.44
6,2005,3.2
7,2005,7.23
4,2005,7.33
4,2005,5.27
20,2005,7.42
20,2005,6.81
8,2005,5.3
1,2005,3.87
3,2005,4.05
6,2005,3.62
20,2005,7.59
20,2005,5.37
5,2005,5.23
19,2005,4.62
20,2005,6.8
8,2005,6.53
4,2005,5.04
4,2005,4.63
7,2005,6.05
20,2005,4.43
5,2005,6.35
19,2005,3.16
20,2005,3.42
7,2005,4.07
3,2005,7.16
1,2005,3.16
19,2005,4.21
1,2005,6.82
5,2005,7.72
20,2005,3.39
5,2005,5.48
5,2005,5.88
1,2005,7.22
8,2005,6.07
3,2005,5.76
4,2005,5.21
6,2005,7.72
7,2005,6
16,2005,7.19
1,2005,3.33
7,2005,7.59
16,2005,5.94
4,2005,4.37
16,2005,3.06
3,2005,6.27
16,2005,5.5
19,2005,5.64
8,2005,6.2
16,2005,4.1
8,2005,6.15
19,2005,7.3
20,2005,5.29
20,2005,7.89
19,2005,3.06
7,2005,4.44
6,2005,7.83
6,2005,7.99
6,2005,4.99
8,2005,5.98
3,2005,4.69
3,2005,7.03
3,2005,5.09
7,2005,4.33
5,2005,7.26
19,2005,7.39
6,2005,3.53
4,2005,7.97
16,2005,7.43
19,2005,6.25
8,2005,3.22
3,2005,7.16
6,2005,7.66
16,2005,3.2
19,2005,3.57
19,2005,4.15
3,2005,3.1
7,2005,4.37
16,2005,3.03
6,2005,4.15
1,2005,4.94
8,2005,3.89
20,2005,3.72
19,2005,5.54
6,2005,5.38
1,2005,4.84
20,2006,3.63
16,2006,6.42
4,2006,5.54
19,2006,4.48
6,2006,3.74
19,2006,3.51
4,2006,5.53
20,2006,4.07
6,2006,3.66
4,2006,3.46
1,2006,7.12
7,2006,5.39
8,2006,7.12
16,2006,5.74
20,2006,7.75
5,2006,6.95
20,2006,7.16
3,2006,7.42
20,2006,6.42
5,2006,7
6,2006,5.51
4,2006,7.25
3,2006,5.31
8,2006,4.16
16,2006,4.96
3,2006,3.2
1,2006,4.23
7,2006,6.01
6,2006,5.4
1,2006,5.21
20,2006,7.31
4,2006,3.64
4,2006,3.45
8,2006,4.58
19,2006,7.1
7,2006,3.49
20,2006,4.2
5,2006,4
4,2006,7.97
8,2006,3.07
4,2006,3.39
1,2006,4.07
19,2006,4.45
6,2006,3.59
20,2006,3.96
6,2006,4.51
5,2006,4.45
5,2006,5.09
7,2006,5.25
6,2006,3.09
20,2006,7.04
3,2006,3.93
6,2006,5.62
6,2006,4.01
7,2006,6.2
19,2006,3.44
8,2006,6.65
16,2006,3.94
3,2006,7.61
3,2006,6.28
20,2006,5.2
16,2006,5.72
6,2006,4.2
16,2006,7.07
4,2006,4.14
20,2006,4.13
16,2006,6.86
20,2006,7.69
1,2006,7.62
5,2006,7.81
1,2006,5.85
7,2006,5.26
5,2006,6.13
20,2006,5.89
8,2006,6.2
5,2006,4.12
3,2006,7.16
4,2006,5.09
7,2006,5.27
6,2006,5.41
7,2006,4.91
4,2006,7.11
